App No: 1,Shaw Ross Aviation Co Pty Ltd | Port Melbourne,Port Melbourne Vic,Lic No: 1,Avro 504K,1.6.21,31.12.29 | Lapsed | LG 1 | See file 7/12/289 Archives MP274 B43,-37.85,144.89,VIC,Port Melbourne Vic,AN0001,LG 1  ,P001,1921,1921-1-1
App No: 1,Shaw Ross Aviation Co Pty Ltd | Port Melbourne,Port Melbourne Vic,Lic No: 1,Avro 504K,1.6.21,31.12.29 | Lapsed | LG 1 | See file 7/12/289 Archives MP274 B43,-37.85,144.89,VIC,Port Melbourne Vic,AN0001,LG 1  ,P001,1921,1921-1-1
App No: 2,The Geelong Harbour Trust Commission | PO Box 4 | Geelong | Victoria,Belmont Common Geelong Vic,Lic No: 2,All Types. | Class 'B' in favourable winds. | Below G in dry weather | favourable winds | Provisional 2.5.48 | ALG 10/11/49 | Notam 1/1950,1.7.21,LG 6 | Cancelled now LG 6,-38.171095,144.355484,VIC,Belmont Common Geelong Vic,AN0002,LG 6  ,P001,1921,1921-1-1
App No: 3,A.A. & E. Coy | Sydney,Mascot N.S.W.,Lic No: 3,All Types,1.7.21,30.6.22 | LG 3 | Now Govt Aerodrome,-33.93,151.21,NSW,Mascot N.S.W.,AN0003,LG 3  ,P001,1921,1921-1-1
App No: 4,Aerial Coy Ltd | Castlereagh Street | Sydney,Botany Bay N.S.W.,Lic No: No licence issued,,,,-33.95,151.2,NSW,Botany Bay N.S.W.,AN0004,-,P001,,
App No: 5,Commercial Aviation Coy | Rochester,Rochester Vic,Lic No: 5,All Types,1.7.21,30.6.23 | LG 75 | Now Govt aerodrome,-36.3,144.67,VIC,Rochester Vic,AN0005,LG 75 ,P002,1921,1921-1-1
App No: 6,R.S. Falkiner | Groongal Station | Groongal | N.S.W.,Groongal N.S.W.,Lic No: 6,Private (restricted),1.7.21,30.6.24 | Lapsed,-34.416675,145.583345,NSW,Groongal N.S.W.,AN0006,-,P002,1921,1921-1-1
App No: 7,Melbourne Air Services (A.J. Carey),Port Melbourne Vic,Lic No: Not granted,,,31.12.39 | Lapsed,-37.85,144.89,VIC,Port Melbourne Vic,AN0007,-,P002,,
App No: 8,Charleville Town Council,Charleville Q'ld,Lic No: Not issued,All Types,,Govt aerodrome | LG 23,-26.65,146.18,QLD,Charleville Q'ld,AN0008,LG 23 ,P002,,
App No: 9,Aerial Transport Ltd | Perth | (Simpson & Tregilles),South Perth W.A.,Lic No: 8,All Types | (provisional),19.10.21,19.4.22 | Lapsed,-32.07,115.82,WA,South Perth W.A.,AN0009,-,P003,1921,1921-1-1
App No: 10,Larkin Aircraft Supply Co,Glen Huntly Vic,Lic No: 4,Avro 504K,1.10.21,31.3.22 | Lapsed,-37.89,145.06,VIC,Glen Huntly Vic,AN0010,-,P003,1921,1921-1-1
App No: 11,W. A. Airways Ltd | Perth,River Foreshore Perth W.A.,Lic No: 7,Avro 504K,17.10.21,27.2.24 | Lapsed,-31.964182,115.87814,WA,River Foreshore Perth W.A.,AN0011,-,P003,1921,1921-1-1
App No: 12,Mildura Town Council,Mildura Vic,Lic No: 9,All Types | Renewed from 1.1.33 for single engine landplanes only | B Class - Re-issued 8.10.1941,1.1.22,LG 8 | 30.9.40 | Abandoned on completion of new C'wealth Aerodrome | 7.4.42,-37.97,145.26,VIC,Mildura Vic,AN0012,LG 8  ,P003,1922,1922-1-1
App No: 13,Parkes Municipal Council,Parkes N.S.W.,Lic No: 10,All Types,5.1.22,31.12.23 | Cancelled | Pide Licence 46 | Now Govt Aerodrome | LG 4 | See Page 5,-32.93,148.26,NSW,Parkes N.S.W.,AN0013,LG 4  ,P004,1922,1922-1-1
App No: 14,N.S.W. Sect Aust Aero Club | Sydney,Victoria Park Racecourse N.S.W. | (for Aerial Derby),Lic No: 11,Avro 504K inc Avro triplane,6.5.22,10.5.22 | Issued to permit Aerial Derby,-33.905657,151.209887,NSW,Victoria Park Racecourse N.S.W.,AN0014,-,P004,1922,1922-1-1
App No: 15,Hay Municipal Council,Hay N.S.W.,Lic No: 12,All types | Below G(DW) Provisional 2.4.48 | Class E(DW)(EW) 3.3.49,3.5.22 | Govt A/drome,30.6.24 | Lease surrended by council | LG 35 | Now Govt aerodrome | Abandoned by C'wealth Sept 1940 | LG6 47,-33.68,144.75,NSW,Hay N.S.W.,AN0015,LG 35 ,P004,1922,1922-1-1
App No: 16,Inverell Municipal Council,Inverell N.S.W.,Lic No: 13,Avro 504K,1.7.22,30.6.24 | Now Govt aerodrome | LG 602 | Special lease for 7 years from 1/1/25 | Now Govt Aerodrome | See Licence 275 | Page 75,-29.84,151.04,NSW,Inverell N.S.W.,AN0016,LG 602,P004,1922,1922-1-1
App No: 17,W. M. Lyall | Gen Mgr | Minilya Station | Via Carnarvon W.A. | (Minily Pastoral Coy),Minilya Station W.A. | (New site from 1.5.39),Lic No: 14,All types (Provisional) | Class 'C' div,1.5.34 | (see application No.498),1-8-1944 | LG 128 | Cancelled,-23.852963,113.978553,WA,Minilya Station W.A.,AN0017,LG 128,P005,1934,1934-1-1
App No: 18,T.F. de Pledge | Yanrey Station | Via Onslow W.A. | (Yanrey Pastoral Co Ltd) | Commonwealth of Australia,Yanrey Station W.A.,Lic No: 15,All Types | (From 1/11/32 except multi-engined),1.9.23,NTA 1/3 | Now Govt E.L.G. 129,-22.508872,114.797777,WA,Yanrey Station W.A.,AN0018,-,P005,1923,1923-1-1
App No: 19,The Manager | Mundabullangana | Via Pt Headland W.A.,Mundabullangana Station W.A.,Lic No: 16,All Types,1.9.23,1.9.34 | Lapsed | LG 132,-20.509346,118.060519,WA,Mundabullangana Station W.A.,AN0019,LG 132,P005,1923,1923-1-1
App No: 20,De Grey River Pastoral Co Ltd | J. L. Stewart Mgr | W.A.,De Grey Station W.A.,Lic No: 17,All types | (Large multi-engined types in favourable wind conditions only) | Class 'E'(DW) 3/11/38 | Non provisional 8.2.48,1.7.23,LG 133 | See Page 135,-20.178174,119.194669,WA,De Grey Station W.A.,AN0020,LG 133,P005,1923,1923-1-1
App No: 21,Ernest A. Hall | Wooramel Station | Via Carnarvan W.A.,Wooramel Homestead W.A.,Lic No: 18,All Types | Gov Emerg landing Ground,1.7.30,20.6.31 | Cancelled from 18/3/31 | LG 127,-25.755151,114.281745,WA,Wooramel Homestead W.A.,AN0021,LG 127,P006,1930,1930-1-1
App No: 22,G.G. Gooch | Wandagee | Via Carnovan W.A.,Wandagee Homestead W.A.,Lic No: 21,All Types | (From 1/11/32 - except multi-engined),1.10.26,24.12.35 | Cancelled | LG 135,-23.7643,114.5547,WA,Wandagee Homestead W.A.,AN0022,LG 135,P006,1926,1926-1-1
App No: 23,B. H. Sharpe & Co | Mardie | Via Onslow W.A.,Mardie Station W.A.,Lic No: 19,All types | (From 12/2/32 - except multi-engined) | Class 'C' F (DW) Provisional 30-6-48,4.2.26,31.12.44 | Now Class 1 | E.L.G/No.131 | see 586/153,-21.188639,115.980292,WA,Mardie Station W.A.,AN0023,-,P006,1926,1926-1-1
App No: 24,Robe River Pastoral Coy | (H.P. Patterson Mgr) | Yarraloola Stn | Onslow W.A.,Yarraloola Homestead W.A. | Onslow,Lic No: 20,All single-engined and light multi-engined aircraft,1.6.26,Lapsed 30/5/36 | LG 130,-21.569447,115.879041,WA,Yarraloola Homestead W.A.,AN0024,LG 130,P006,1926,1926-1-1
App No: 25,New England Airways Ltd Sydney | Airlines of Australia Ltd | 14 Martin Place | Sydney | K.R.M. Farmer | 8 Myamyn Street | Malvern | Vic,Coode Island Melbourne Vic,Lic No: 22,All single-engined and light multi-engined aircraft | Class 'C',1.10.27,29.9.1943 | LG 155,-37.814342,144.909359,VIC,Coode Island Melbourne Vic,AN0025,LG 155,P007,1927,1927-1-1
App No: 26,D. J. Hearman | Middalya | Via Carnovan W.A.,Middalya W.A.,Lic No:,,,,-23.906549,114.76476,WA,Middalya W.A.,AN0026,-,P007,,
App No: 27,H. Campbell | Boologooro | Via Carnavon | W.A.,Boologooro W.A.,Lic No: 23,All Types | (From 1.11.32 - except multi-engined),1.5.28,Gov Emergency Landing Ground | 14.12.34 | Cancelled | Now E.L.G. | LG 159,-24.340299,114.015142,WA,Boologooro W.A.,AN0027,LG 159,P007,1928,1928-1-1
App No: 28,Goulburn Aero Club | (B. Bradley Hon Secy) | Goulburn | New South Wales | 20.6.32 | Town Clerk - City of Goulburn | P.O. Box 16A - Goulburn,Goulburn N.S.W.,Lic No: 24,All Types | out 7/9/50,1.10.28,Cancelled | Now Govt Aerodrome | LG 170,-34.44,149.96,NSW,Goulburn N.S.W.,AN0028,LG 170,P007,1928,1928-1-1
